sku_id,item_name,unit_price
LIN-EQUIP-1053,[UPDATED] Modified Variant Data,6629.04
LIN-EQUIP-1009,Industrial Component v1,1492.0
LIN-EQUIP-1022,Industrial Component v3,638.71
LIN-EQUIP-1037,Industrial Component v1,974.52
LIN-EQUIP-1038,Industrial Component v3,1850.02
LIN-EQUIP-1091,[UPDATED] Modified Variant Data,5952.91
LIN-EQUIP-1032,[UPDATED] Modified Variant Data,5884.83
LIN-EQUIP-1071,Industrial Component v4,1369.82
LIN-EQUIP-1075,Industrial Component v5,1875.33
LIN-EQUIP-1050,Industrial Component v2,785.17
LIN-EQUIP-1063,Industrial Component v4,2130.83
LIN-EQUIP-1026,Industrial Component v2,327.22
LIN-EQUIP-1089,Industrial Component v1,737.06
LIN-EQUIP-1071,[UPDATED] Modified Variant Data,6621.01
LIN-EQUIP-1076,[UPDATED] Modified Variant Data,5785.1
LIN-EQUIP-1049,Industrial Component v2,1028.81
LIN-EQUIP-1065,Industrial Component v4,2413.22
LIN-EQUIP-1045,Industrial Component v1,2433.39
LIN-EQUIP-1017,Industrial Component v2,2376.77
LIN-EQUIP-1090,Industrial Component v2,1952.06
LIN-EQUIP-1088,Industrial Component v3,2158.65
LIN-EQUIP-1073,Industrial Component v5,2263.87
LIN-EQUIP-1060,Industrial Component v1,1527.01
LIN-EQUIP-1011,Industrial Component v5,1622.94
LIN-EQUIP-1015,Industrial Component v1,22.01
LIN-EQUIP-1058,Industrial Component v5,396.81
LIN-EQUIP-1082,Industrial Component v3,238.76
LIN-EQUIP-1048,Industrial Component v2,1796.46
LIN-EQUIP-1098,Industrial Component v2,1631.68
LIN-EQUIP-1095,[UPDATED] Modified Variant Data,6282.09
LIN-EQUIP-1039,Industrial Component v2,558.39
LIN-EQUIP-1044,Industrial Component v5,1992.43
LIN-EQUIP-1003,Industrial Component v1,30.93
LIN-EQUIP-1084,Industrial Component v2,601.6
LIN-EQUIP-1059,Industrial Component v2,682.04
LIN-EQUIP-1053,[UPDATED] Modified Variant Data,5590.88
LIN-EQUIP-1051,Industrial Component v3,1688.77
LIN-EQUIP-1036,Industrial Component v1,1331.84
LIN-EQUIP-1035,Industrial Component v4,421.29
LIN-EQUIP-1069,Industrial Component v2,432.97
LIN-EQUIP-1052,Industrial Component v1,306.09
LIN-EQUIP-1027,Industrial Component v4,1912.88
LIN-EQUIP-1032,Industrial Component v3,1593.61
LIN-EQUIP-1081,Industrial Component v5,2007.82
LIN-EQUIP-1016,Industrial Component v1,202.85
LIN-EQUIP-1067,Industrial Component v4,2055.64
LIN-EQUIP-1007,Industrial Component v5,382.13
LIN-EQUIP-1009,[UPDATED] Modified Variant Data,6216.4
LIN-EQUIP-1069,[UPDATED] Modified Variant Data,5909.39
LIN-EQUIP-1087,Industrial Component v4,447.35
LIN-EQUIP-1096,Industrial Component v1,492.88
LIN-EQUIP-1054,Industrial Component v1,2389.15
LIN-EQUIP-1062,Industrial Component v5,363.1
LIN-EQUIP-1046,Industrial Component v5,2415.17
LIN-EQUIP-1064,Industrial Component v5,1180.22
LIN-EQUIP-1091,[UPDATED] Modified Variant Data,5933.84
LIN-EQUIP-1028,Industrial Component v5,502.12
LIN-EQUIP-1042,Industrial Component v5,799.35
LIN-EQUIP-1074,Industrial Component v1,875.48
LIN-EQUIP-1097,Industrial Component v2,413.52
LIN-EQUIP-1037,[UPDATED] Modified Variant Data,7112.07
LIN-EQUIP-1079,Industrial Component v2,127.9
LIN-EQUIP-1072,Industrial Component v1,1942.33
LIN-EQUIP-1030,[UPDATED] Modified Variant Data,6182.72
LIN-EQUIP-1095,Industrial Component v4,1286.95
LIN-EQUIP-1089,[UPDATED] Modified Variant Data,5825.52
LIN-EQUIP-1023,Industrial Component v1,1512.2
LIN-EQUIP-1055,Industrial Component v3,2439.32
LIN-EQUIP-1034,Industrial Component v5,84.94
